Description,Start Date,Start Time,End Date,End Time,Duration (h)
Chat (SD-189),10/30/2025,12:12 PM,10/30/2025,7:56 PM,7:44
Registration (SD-24),09/30/2025,11:49 AM,09/30/2025,7:20 PM,7:31
User Profile Screen (SD-106),07/31/2025,10:00 AM,07/31/2025,5:30 PM,7:30
Find A Soulmate (SD-267),12/12/2025,2:04 PM,12/12/2025,8:58 PM,6:54
Shop (SD-220),11/26/2025,12:31 PM,11/26/2025,7:22 PM,6:51
User Profile Screen (SD-106),08/20/2025,12:33 PM,08/20/2025,7:24 PM,6:51
"Connecting Journal, ProfileEdit and ProfileSetup to API",10/07/2025,12:24 PM,10/07/2025,6:58 PM,6:34
Registration (SD-24),10/06/2025,12:38 PM,10/06/2025,7:10 PM,6:32
Registration (SD-24),09/19/2025,11:33 AM,09/19/2025,6:02 PM,6:29
Chat (SD-189),11/03/2025,12:45 PM,11/03/2025,7:11 PM,6:26
Find A Soulmate(SD-267),12/11/2025,12:59 PM,12/11/2025,7:23 PM,6:24
View profile (SD-242),11/04/2025,11:54 AM,11/04/2025,6:09 PM,6:15
Fixing small issues: 157 159 164 165 182,11/10/2025,1:04 PM,11/10/2025,7:15 PM,6:11
"Last minute fixes/changes (tweak setup flow, handle no first/last name) discussing bugs, debugging, testing, and making builds",02/06/2026,2:00 PM,02/06/2026,8:00 PM,6:00
Shop UI and payment flow (and a quick little meeting),01/15/2026,12:00 PM,01/15/2026,6:00 PM,6:00
Shop (SD-220),11/25/2025,1:04 PM,11/25/2025,6:49 PM,5:45
Registration (SD-24),09/22/2025,12:20 PM,09/22/2025,5:51 PM,5:31
Finishing up build pipeline; Updating Paywall to follow Karlos suggestions; And then finishing tasks 348 384 401 403,01/29/2026,11:00 PM,01/30/2026,4:30 AM,5:30
"Setting up .env for prod, and debugging RevenueCat",01/28/2026,2:00 PM,01/28/2026,7:30 PM,5:30
Adding shipping payment and figuring out why payment keeps saying Pending,01/18/2026,9:00 PM,01/19/2026,2:30 AM,5:30
Shop History and cleaning up code,01/16/2026,11:30 AM,01/16/2026,5:00 PM,5:30
Setup Apple Build (SD-312),12/23/2025,12:00 PM,12/23/2025,5:30 PM,5:30
Fixing bugs,11/05/2025,2:26 PM,11/05/2025,7:44 PM,5:18
Finalizing new build,10/08/2025,1:44 PM,10/08/2025,7:00 PM,5:16
"Checking build for bugs, and patching them up, then making the Android build",09/05/2025,12:00 PM,09/05/2025,5:06 PM,5:06
"Connecting Journal, ProfileEdit and ProfileSetup to API",10/07/2025,9:00 PM,10/08/2025,2:02 AM,5:02
"So many tickets, and 2 builds",02/01/2026,12:00 AM,02/01/2026,5:00 AM,5:00
Paywall + Builds,01/25/2026,9:00 PM,01/26/2026,2:00 AM,5:00
Shop/Shop History/Payment and cleaning up code/making build,01/17/2026,12:00 AM,01/17/2026,5:00 AM,5:00
Shop SD-220,01/14/2026,12:00 PM,01/14/2026,5:00 PM,5:00
"Fix Google Sign In, Add Apple Login on iOS, and fix minor other issues(SD-335 SD-337 SD-340) then also make a build and test it",01/12/2026,1:00 PM,01/12/2026,6:00 PM,5:00
Shop (SD-220),12/17/2025,12:00 PM,12/17/2025,5:00 PM,5:00
